"cod","message","cnt","list__dt","list__main__temp","list__main__temp_min","list__main__temp_max","list__main__pressure","list__main__sea_level","list__main__grnd_level","list__main__humidity","list__main__temp_kf","list__weather__id","list__weather__main","list__weather__description","list__weather__icon","list__clouds__all","list__wind__speed","list__wind__deg","list__sys__pod","list__dt_txt","city__id","city__name","city__coord__lat","city__coord__lon","city__country","city__population","list__rain__1h"
"200","0.0151","96","1553709600","278.76","278.76","279.558","1031.934","1031.934","971.745","100","-0.8","803","Clouds","broken clouds","04n","77","1.6","40.932","n","2019-03-27 18:00:00","2867714","Munich","48.1371","11.5754","DE","1260391",""
"","","","1553713200","278.4","278.4","279","1033.061","1033.061","972.411","100","-0.6","801","Clouds","few clouds","02n","24","1.49","46.416","n","2019-03-27 19:00:00","","","","","","",""
"","","","1553716800","277.71","277.71","278.107","1033.968","1033.968","972.984","100","-0.4","801","Clouds","few clouds","02n","18","1.58","49.883","n","2019-03-27 20:00:00","","","","","","",""
"","","","1553720400","277.32","277.32","277.522","1034.661","1034.661","973.506","100","-0.2","801","Clouds","few clouds","02n","12","1.66","52.854","n","2019-03-27 21:00:00","","","","","","",""
"","","","1553724000","276.96","276.96","276.96","1035.082","1035.082","973.81","100","0","800","Clear","clear sky","02n","9","1.6","56.855","n","2019-03-27 22:00:00","","","","","","",""
"","","","1553727600","276.491","276.491","276.491","1035.273","1035.273","973.91","100","0","800","Clear","clear sky","02n","7","1.38","62.298","n","2019-03-27 23:00:00","","","","","","",""
"","","","1553731200","276.081","276.081","276.081","1035.227","1035.227","973.783","100","0","800","Clear","clear sky","02n","6","1.13","67.811","n","2019-03-28 00:00:00","","","","","","",""
"","","","1553734800","275.712","275.712","275.712","1035.094","1035.094","973.571","100","0","800","Clear","clear sky","01n","0","0.93","71.565","n","2019-03-28 01:00:00","","","","","","",""
"","","","1553738400","275.358","275.358","275.358","1035.008","1035.008","973.403","100","0","800","Clear","clear sky","01n","0","0.76","73.649","n","2019-03-28 02:00:00","","","","","","",""
"","","","1553742000","274.954","274.954","274.954","1035.01","1035.01","973.342","100","0","800","Clear","clear sky","01n","0","0.58","77.844","n","2019-03-28 03:00:00","","","","","","",""
"","","","1553745600","274.805","274.805","274.805","1035.079","1035.079","973.401","100","0","800","Clear","clear sky","01n","0","0.48","76.225","n","2019-03-28 04:00:00","","","","","","",""
"","","","1553749200","274.744","274.744","274.744","1035.228","1035.228","973.537","100","0","800","Clear","clear sky","01d","0","0.49","70.502","d","2019-03-28 05:00:00","","","","","","",""
"","","","1553752800","275.267","275.267","275.267","1035.421","1035.421","973.977","100","0","800","Clear","clear sky","01d","0","0.61","57.479","d","2019-03-28 06:00:00","","","","","","",""
"","","","1553756400","277","277","277","1034.79","1034.79","974.311","100","0","800","Clear","clear sky","01d","0","1.04","49.554","d","2019-03-28 07:00:00","","","","","","",""
"","","","1553760000","278.8","278.8","278.8","1034.179","1034.179","974.483","100","0","800","Clear","clear sky","01d","0","1.61","51.039","d","2019-03-28 08:00:00","","","","","","",""
"","","","1553763600","280.6","280.6","280.6","1033.734","1033.734","974.574","100","0","800","Clear","clear sky","01d","0","2.25","50.628","d","2019-03-28 09:00:00","","","","","","",""
"","","","1553767200","281.8","281.8","281.8","1033.315","1033.315","974.491","100","0","800","Clear","clear sky","01d","0","2.77","53.619","d","2019-03-28 10:00:00","","","","","","",""
"","","","1553770800","282.933","282.933","282.933","1032.889","1032.889","974.281","100","0","800","Clear","clear sky","01d","0","3.01","58.517","d","2019-03-28 11:00:00","","","","","","",""
"","","","1553774400","283.888","283.888","283.888","1032.449","1032.449","973.963","100","0","800","Clear","clear sky","01d","0","3.12","63.066","d","2019-03-28 12:00:00","","","","","","",""
"","","","1553778000","284.6","284.6","284.6","1031.936","1031.936","973.482","100","0","800","Clear","clear sky","01d","1","3.31","63.126","d","2019-03-28 13:00:00","","","","","","",""
"","","","1553781600","285.021","285.021","285.021","1031.435","1031.435","972.997","100","0","800","Clear","clear sky","01d","1","3.49","59.49","d","2019-03-28 14:00:00","","","","","","",""
"","","","1553785200","284.9","284.9","284.9","1031.28","1031.28","972.758","100","0","800","Clear","clear sky","01d","1","3.64","55.629","d","2019-03-28 15:00:00","","","","","","",""
"","","","1553788800","284.231","284.231","284.231","1031.355","1031.355","972.662","100","0","800","Clear","clear sky","01d","1","3.5","52.569","d","2019-03-28 16:00:00","","","","","","",""
